yourlist:M20200414DA437993067D6F64326E5E763500BDED121471F	isomap:M20200414DA437993067D6F64326E5E763500BDED121471F	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
ENSP00000265724	ENSP00000265724 -> P08183-1	P08183	MDR1_HUMAN	reviewed	ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1) (EC 7.6.2.2) (P-glycoprotein 1) (Phospholipid transporter ABCB1) (EC 7.6.2.1) (CD antigen CD243)	ABCB1 MDR1 PGY1	Homo sapiens (Human)	1280
ENSP00000253577	ENSP00000253577 -> O75027-2	O75027	ABCB7_HUMAN	reviewed	ATP-binding cassette sub-family B member 7, mitochondrial (ATP-binding cassette transporter 7) (ABC transporter 7 protein)	ABCB7 ABC7	Homo sapiens (Human)	752
ENSP00000280560	ENSP00000280560 -> Q9NP78-1	Q9NP78	ABCB9_HUMAN	reviewed	ATP-binding cassette sub-family B member 9 (ATP-binding cassette transporter 9) (ABC transporter 9 protein) (hABCB9) (TAP-like protein) (TAPL)	ABCB9 KIAA1520	Homo sapiens (Human)	766
ENSP00000382342	ENSP00000382342 -> P33527-1	P33527	MRP1_HUMAN	reviewed	Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter)	ABCC1 MRP MRP1	Homo sapiens (Human)	1531
ENSP00000244533	ENSP00000244533 -> Q5T3U5-2	Q5T3U5	MRP7_HUMAN	reviewed	Multidrug resistance-associated protein 7 (ATP-binding cassette sub-family C member 10)	ABCC10 MRP7 SIMRP7	Homo sapiens (Human)	1492
ENSP00000285238	ENSP00000285238 -> O15438-1	O15438	MRP3_HUMAN	reviewed	Canalicular multispecific organic anion transporter 2 (ATP-binding cassette sub-family C member 3) (Multi-specific organic anion transporter D) (MOAT-D) (Multidrug resistance-associated protein 3)	ABCC3 CMOAT2 MLP2 MRP3	Homo sapiens (Human)	1527
ENSP00000333926	ENSP00000333926 -> O15440-1	O15440	MRP5_HUMAN	reviewed	Multidrug resistance-associated protein 5 (ATP-binding cassette sub-family C member 5) (Multi-specific organic anion transporter C) (MOAT-C) (SMRP) (pABC11)	ABCC5 MRP5	Homo sapiens (Human)	1437
ENSP00000374467	ENSP00000374467 -> Q09428-1	Q09428	ABCC8_HUMAN	reviewed	ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1)	ABCC8 HRINS SUR SUR1	Homo sapiens (Human)	1581
ENSP00000261200	ENSP00000261200 -> O60706-2	O60706	ABCC9_HUMAN	reviewed	ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2)	ABCC9 SUR2	Homo sapiens (Human)	1549
ENSP00000218104		P33897	ABCD1_HUMAN	reviewed	ATP-binding cassette sub-family D member 1 (EC 7.6.2.4) (Adrenoleukodystrophy protein) (ALDP)	ABCD1 ALD	Homo sapiens (Human)	745
ENSP00000359233	ENSP00000359233 -> P28288-1	P28288	ABCD3_HUMAN	reviewed	ATP-binding cassette sub-family D member 3 (70 kDa peroxisomal membrane protein) (PMP70)	ABCD3 PMP70 PXMP1	Homo sapiens (Human)	659
ENSP00000222388	ENSP00000222388 -> Q9UG63-2	Q9UG63	ABCF2_HUMAN	reviewed	ATP-binding cassette sub-family F member 2 (Iron-inhibited ABC transporter 2)	ABCF2 HUSSY-18	Homo sapiens (Human)	623
ENSP00000237612	ENSP00000237612 -> Q9UNQ0-1	Q9UNQ0	ABCG2_HUMAN	reviewed	Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein) (CDw338) (Mitoxantrone resistance-associated protein) (Placenta-specific ATP-binding cassette transporter) (Urate exporter) (CD antigen CD338)	ABCG2 ABCP BCRP BCRP1 MXR	Homo sapiens (Human)	655
ENSP00000273359	ENSP00000273359 -> Q9NUJ1-1	Q9NUJ1	ABHDA_HUMAN	reviewed	Mycophenolic acid acyl-glucuronide esterase, mitochondrial (EC 3.1.1.93) (Alpha/beta hydrolase domain-containing protein 10) (Abhydrolase domain-containing protein 10)	ABHD10	Homo sapiens (Human)	306
ENSP00000365312	ENSP00000365312 -> Q8IZP0-1	Q8IZP0	ABI1_HUMAN	reviewed	Abl interactor 1 (Abelson interactor 1) (Abi-1) (Abl-binding protein 4) (AblBP4) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Nap1-binding protein) (Nap1BP) (Spectrin SH3 domain-binding protein 1) (e3B1)	ABI1 SSH3BP1	Homo sapiens (Human)	508
ENSP00000261017	ENSP00000261017 -> Q9NYB9-2	Q9NYB9	ABI2_HUMAN	reviewed	Abl interactor 2 (Abelson interactor 2) (Abi-2) (Abl-binding protein 3) (AblBP3) (Arg-binding protein 1) (ArgBP1)	ABI2 ARGBPIA	Homo sapiens (Human)	513
ENSP00000361423	ENSP00000361423 -> P00519-2	P00519	ABL1_HUMAN	reviewed	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	Homo sapiens (Human)	1130
ENSP00000356595	ENSP00000356595 -> P42684-6	P42684	ABL2_HUMAN	reviewed	Tyrosine-protein kinase ABL2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG)	ABL2 ABLL ARG	Homo sapiens (Human)	1182
ENSP00000393511	ENSP00000393511 -> Q6H8Q1-9	Q6H8Q1	ABLM2_HUMAN	reviewed	Actin-binding LIM protein 2 (abLIM-2) (Actin-binding LIM protein family member 2)	ABLIM2 KIAA1808	Homo sapiens (Human)	611
ENSP00000310309	ENSP00000310309 -> O94929-1	O94929	ABLM3_HUMAN	reviewed	Actin-binding LIM protein 3 (abLIM-3) (Actin-binding LIM protein family member 3)	ABLIM3 KIAA0843 HMFN1661	Homo sapiens (Human)	683
ENSP00000311436		Q8N0Z2	ABRA_HUMAN	reviewed	Actin-binding Rho-activating protein (Striated muscle activator of Rho-dependent signaling) (STARS)	ABRA	Homo sapiens (Human)	381
ENSP00000202773		Q02878	RL6_HUMAN	reviewed	60S ribosomal protein L6 (Large ribosomal subunit protein eL6) (Neoplasm-related protein C140) (Tax-responsive enhancer element-binding protein 107) (TaxREB107)	RPL6 TXREB1	Homo sapiens (Human)	288
ENSP00000368994	ENSP00000368994 -> Q17R89-1	Q17R89	RHG44_HUMAN	reviewed	Rho GTPase-activating protein 44 (NPC-A-10) (Rho-type GTPase-activating protein RICH2) (RhoGAP interacting with CIP4 homologs protein 2) (RICH-2)	ARHGAP44 KIAA0672 RICH2	Homo sapiens (Human)	818
ENSP00000221801		P22087	FBRL_HUMAN	reviewed	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (34 kDa nucleolar scleroderma antigen) (Histone-glutamine methyltransferase)	FBL FIB1 FLRN	Homo sapiens (Human)	321
ENSP00000352962	ENSP00000352962 -> Q6T4P5-3	Q6T4P5	PLPR3_HUMAN	reviewed	Phospholipid phosphatase-related protein type 3 (EC 3.1.3.4) (Lipid phosphate phosphatase-related protein type 3) (PAP-2-like protein 2) (Plasticity-related gene 2 protein) (PRG-2)	PLPPR3 LPPR3 PHP2 PRG2	Homo sapiens (Human)	718
ENSP00000238875		Q3ZCW2	LEGL_HUMAN	reviewed	Galectin-related protein (Galectin-like protein) (Lectin galactoside-binding-like protein)	LGALSL GRP HSPC159	Homo sapiens (Human)	172
ENSP00000270625		P62280	RS11_HUMAN	reviewed	40S ribosomal protein S11 (Small ribosomal subunit protein uS17)	RPS11	Homo sapiens (Human)	158
ENSP00000301244	ENSP00000301244 -> O43291-1	O43291	SPIT2_HUMAN	reviewed	Kunitz-type protease inhibitor 2 (Hepatocyte growth factor activator inhibitor type 2) (HAI-2) (Placental bikunin)	SPINT2 HAI2 KOP	Homo sapiens (Human)	252
ENSP00000335632		Q99653	CHP1_HUMAN	reviewed	Calcineurin B homologous protein 1 (Calcineurin B-like protein) (Calcium-binding protein CHP) (Calcium-binding protein p22) (EF-hand calcium-binding domain-containing protein p22)	CHP1 CHP	Homo sapiens (Human)	195
ENSP00000381282		Q9BQE4	SELS_HUMAN	reviewed	Selenoprotein S (SelS) (VCP-interacting membrane protein)	SELENOS SELS VIMP AD-015 SBBI8	Homo sapiens (Human)	189
ENSP00000299633		Q9Y3E1	HDGR3_HUMAN	reviewed	Hepatoma-derived growth factor-related protein 3 (HRP-3) (Hepatoma-derived growth factor 2) (HDGF-2)	HDGFL3 HDGF2 HDGFRP3 CGI-142	Homo sapiens (Human)	203
ENSP00000276646	ENSP00000276646 -> Q9NX95-1	Q9NX95	SYBU_HUMAN	reviewed	Syntabulin (Golgi-localized syntaphilin-related protein) (Syntaxin-1-binding protein)	SYBU GOLSYN KIAA1472	Homo sapiens (Human)	663
ENSP00000366522	ENSP00000366522 -> Q9C0H5-2	Q9C0H5	RHG39_HUMAN	reviewed	Rho GTPase-activating protein 39	ARHGAP39 KIAA1688	Homo sapiens (Human)	1083
ENSP00000296794	ENSP00000296794 -> Q8N1W1-4	Q8N1W1	ARG28_HUMAN	reviewed	Rho guanine nucleotide exchange factor 28 (190 kDa guanine nucleotide exchange factor) (p190-RhoGEF) (p190RhoGEF) (Rho guanine nucleotide exchange factor)	ARHGEF28 KIAA1998 RGNEF	Homo sapiens (Human)	1705
ENSP00000220592	ENSP00000220592 -> Q9UKV8-1	Q9UKV8	AGO2_HUMAN	reviewed	Protein argonaute-2 (Argonaute2) (hAgo2) (EC 3.1.26.n2) (Argonaute RISC catalytic component 2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (PAZ Piwi domain protein) (PPD) (Protein slicer)	AGO2 EIF2C2	Homo sapiens (Human)	859
ENSP00000264344	ENSP00000264344 -> O94988-4	O94988	FA13A_HUMAN	reviewed	Protein FAM13A	FAM13A FAM13A1 KIAA0914	Homo sapiens (Human)	1023
ENSP00000396301		Q13123	RED_HUMAN	reviewed	Protein Red (Cytokine IK) (IK factor) (Protein RER)	IK RED RER	Homo sapiens (Human)	557
ENSP00000324392	ENSP00000324392 -> Q63HN8-5	Q63HN8	RN213_HUMAN	reviewed	E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (ALK lymphoma oligomerization partner on chromosome 17) (Mysterin) (RING finger protein 213) (RING-type E3 ubiquitin transferase RNF213)	RNF213 ALO17 C17orf27 KIAA1554 KIAA1618 MYSTR	Homo sapiens (Human)	5207
ENSP00000347649		Q92791	SC65_HUMAN	reviewed	Endoplasmic reticulum protein SC65 (Leprecan-like protein 4) (Nucleolar autoantigen No55) (Prolyl 3-hydroxylase family member 4) (Synaptonemal complex protein SC65)	P3H4 LEPREL4 NOL55 SC65	Homo sapiens (Human)	437
ENSP00000274605		O15049	N4BP3_HUMAN	reviewed	NEDD4-binding protein 3 (N4BP3)	N4BP3 KIAA0341	Homo sapiens (Human)	544
ENSP00000243077	ENSP00000243077 -> Q07954-1	Q07954	LRP1_HUMAN	reviewed	Prolow-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR) (Apolipoprotein E receptor) (APOER) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit (LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subunit (LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domain (LRPICD)]	LRP1 A2MR APR	Homo sapiens (Human)	4544
ENSP00000416094		A0A4V7I447	A0A4V7I447_HUMAN	unreviewed	Apolipoprotein B receptor	APOBR	Homo sapiens (Human)	1088
ENSP00000285093		P42765	THIM_HUMAN	reviewed	3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acetyltransferase) (EC 2.3.1.9) (Acetyl-CoA acyltransferase) (Acyl-CoA hydrolase, mitochondrial) (EC 3.1.2.-) (EC 3.1.2.1) (EC 3.1.2.2) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase) (T1)	ACAA2	Homo sapiens (Human)	397
ENSP00000367079	ENSP00000367079 -> O00763-1	O00763	ACACB_HUMAN	reviewed	Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta)	ACACB ACC2 ACCB	Homo sapiens (Human)	2458
ENSP00000264990	ENSP00000264990 -> Q709F0-1	Q709F0	ACD11_HUMAN	reviewed	Acyl-CoA dehydrogenase family member 11 (ACAD-11) (EC 1.3.8.-)	ACAD11	Homo sapiens (Human)	780
ENSP00000357873	ENSP00000357873 -> P45954-1	P45954	ACDSB_HUMAN	reviewed	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (SBCAD) (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-MEBCAD) (2-methylbutyryl-coenzyme A dehydrogenase) (2-methylbutyryl-CoA dehydrogenase)	ACADSB	Homo sapiens (Human)	432
ENSP00000158762		Q15027	ACAP1_HUMAN	reviewed	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 (Centaurin-beta-1) (Cnt-b1)	ACAP1 CENTB1 KIAA0050	Homo sapiens (Human)	740
ENSP00000324287		Q15057	ACAP2_HUMAN	reviewed	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 (Centaurin-beta-2) (Cnt-b2)	ACAP2 CENTB2 KIAA0041	Homo sapiens (Human)	778
ENSP00000265838	ENSP00000265838 -> P24752-1	P24752	THIL_HUMAN	reviewed	Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (T2)	ACAT1 ACAT MAT	Homo sapiens (Human)	427
ENSP00000355777		Q9H3P7	GCP60_HUMAN	reviewed	Golgi resident protein GCP60 (Acyl-CoA-binding domain-containing protein 3) (Golgi complex-associated protein 1) (GOCAP1) (Golgi phosphoprotein 1) (GOLPH1) (PBR- and PKA-associated protein 7) (Peripheral benzodiazepine receptor-associated protein PAP7) [Cleaved into: Golgi resident protein GCP60, N-terminally processed]	ACBD3 GCP60 GOCAP1 GOLPH1	Homo sapiens (Human)	528
ENSP00000379568	ENSP00000379568 -> Q5T8D3-3	Q5T8D3	ACBD5_HUMAN	reviewed	Acyl-CoA-binding domain-containing protein 5	ACBD5 KIAA1996	Homo sapiens (Human)	534
ENSP00000356567		Q9BR61	ACBD6_HUMAN	reviewed	Acyl-CoA-binding domain-containing protein 6	ACBD6	Homo sapiens (Human)	282
ENSP00000225823	ENSP00000225823 -> Q16515-2	Q16515	ASIC2_HUMAN	reviewed	Acid-sensing ion channel 2 (ASIC2) (Amiloride-sensitive brain sodium channel) (Amiloride-sensitive cation channel 1, neuronal) (Amiloride-sensitive cation channel neuronal 1) (Brain sodium channel 1) (BNC1) (BNaC1) (Mammalian degenerin homolog) (MDEG)	ASIC2 ACCN ACCN1 BNAC1 MDEG	Homo sapiens (Human)	512
ENSP00000228468	ENSP00000228468 -> P78348-1	P78348	ASIC1_HUMAN	reviewed	Acid-sensing ion channel 1 (ASIC1) (Amiloride-sensitive cation channel 2, neuronal) (Brain sodium channel 2) (BNaC2)	ASIC1 ACCN2 BNAC2	Homo sapiens (Human)	528
ENSP00000350786	ENSP00000350786 -> Q96FT7-4	Q96FT7	ASIC4_HUMAN	reviewed	Acid-sensing ion channel 4 (ASIC4) (Amiloride-sensitive cation channel 4) (Amiloride-sensitive cation channel 4, pituitary)	ASIC4 ACCN4	Homo sapiens (Human)	647
ENSP00000290866	ENSP00000290866 -> P12821-1	P12821	ACE_HUMAN	reviewed	Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]	ACE DCP DCP1	Homo sapiens (Human)	1306
ENSP00000252519	ENSP00000252519 -> Q9BYF1-1	Q9BYF1	ACE2_HUMAN	reviewed	Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) (Angiotensin-converting enzyme homolog) (ACEH) (Metalloprotease MPROT15) [Cleaved into: Processed angiotensin-converting enzyme 2]	ACE2 UNQ868/PRO1885	Homo sapiens (Human)	805
ENSP00000303211	ENSP00000303211 -> P22303-2	P22303	ACES_HUMAN	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7)	ACHE	Homo sapiens (Human)	614
ENSP00000262710	ENSP00000262710 -> Q9UKV3-1	Q9UKV3	ACINU_HUMAN	reviewed	Apoptotic chromatin condensation inducer in the nucleus (Acinus)	ACIN1 ACINUS KIAA0670	Homo sapiens (Human)	1341
ENSP00000253792	ENSP00000253792 -> P53396-1	P53396	ACLY_HUMAN	reviewed	ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (ACL) (Citrate cleavage enzyme)	ACLY	Homo sapiens (Human)	1101
ENSP00000309477		P21399	ACOC_HUMAN	reviewed	Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Ferritin repressor protein) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1)	ACO1 IREB1	Homo sapiens (Human)	889
ENSP00000216254		Q99798	ACON_HUMAN	reviewed	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	ACO2	Homo sapiens (Human)	780
ENSP00000311224		Q86TX2	ACOT1_HUMAN	reviewed	Acyl-coenzyme A thioesterase 1 (Acyl-CoA thioesterase 1) (EC 3.1.2.-) (CTE-I) (CTE-Ib) (Inducible cytosolic acyl-coenzyme A thioester hydrolase) (Long chain acyl-CoA thioester hydrolase) (Long chain acyl-CoA hydrolase) (Palmitoyl-coenzyme A thioesterase) (EC 3.1.2.2)	ACOT1 CTE1	Homo sapiens (Human)	421
ENSP00000293217	ENSP00000293217 -> Q15067-2	Q15067	ACOX1_HUMAN	reviewed	Peroxisomal acyl-coenzyme A oxidase 1 (AOX) (EC 1.3.3.6) (Palmitoyl-CoA oxidase) (Straight-chain acyl-CoA oxidase) (SCOX) [Cleaved into: Peroxisomal acyl-CoA oxidase 1, A chain; Peroxisomal acyl-CoA oxidase 1, B chain; Peroxisomal acyl-CoA oxidase 1, C chain]	ACOX1 ACOX	Homo sapiens (Human)	660
ENSP00000307697		Q99424	ACOX2_HUMAN	reviewed	Peroxisomal acyl-coenzyme A oxidase 2 (EC 1.17.99.3) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA 24-hydroxylase) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA oxidase) (Trihydroxycoprostanoyl-CoA oxidase) (THCA-CoA oxidase) (THCCox)	ACOX2	Homo sapiens (Human)	681
ENSP00000348775	ENSP00000348775 -> O15254-1	O15254	ACOX3_HUMAN	reviewed	Peroxisomal acyl-coenzyme A oxidase 3 (EC 1.3.3.6) (Branched-chain acyl-CoA oxidase) (BRCACox) (Pristanoyl-CoA oxidase)	ACOX3 BRCOX PRCOX	Homo sapiens (Human)	700
ENSP00000407761	ENSP00000407761 -> Q9NUZ1-4	Q9NUZ1	ACOXL_HUMAN	reviewed	Acyl-coenzyme A oxidase-like protein (Acyl-CoA oxidase-like protein) (EC 1.3.3.-)	ACOXL	Homo sapiens (Human)	547
ENSP00000272065	ENSP00000272065 -> P24666-1	P24666	PPAC_HUMAN	reviewed	Low molecular weight phosphotyrosine protein phosphatase (LMW-PTP) (LMW-PTPase) (EC 3.1.3.48) (Adipocyte acid phosphatase) (Low molecular weight cytosolic acid phosphatase) (EC 3.1.3.2) (Red cell acid phosphatase 1)	ACP1	Homo sapiens (Human)	158
ENSP00000258873		Q96GR2	ACBG1_HUMAN	reviewed	Long-chain-fatty-acid--CoA ligase ACSBG1 (EC 6.2.1.3) (Acyl-CoA synthetase bubblegum family member 1) (hBG1) (hsBG) (hsBGM) (Lipidosin)	ACSBG1 BGM KIAA0631 LPD	Homo sapiens (Human)	724
ENSP00000281455	ENSP00000281455 -> P33121-1	P33121	ACSL1_HUMAN	reviewed	Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Acyl-CoA synthetase 1) (ACS1) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Long-chain acyl-CoA synthetase 2) (LACS 2) (Long-chain fatty acid-CoA ligase 2) (Palmitoyl-CoA ligase 1) (Palmitoyl-CoA ligase 2) (Phytanate--CoA ligase) (EC 6.2.1.24)	ACSL1 FACL1 FACL2 LACS LACS1 LACS2	Homo sapiens (Human)	698
ENSP00000350012		O95573	ACSL3_HUMAN	reviewed	Long-chain-fatty-acid--CoA ligase 3 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3)	ACSL3 ACS3 FACL3 LACS3	Homo sapiens (Human)	720
ENSP00000339787	ENSP00000339787 -> O60488-1	O60488	ACSL4_HUMAN	reviewed	Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 4) (LACS 4)	ACSL4 ACS4 FACL4 LACS4	Homo sapiens (Human)	711
ENSP00000348429	ENSP00000348429 -> Q9ULC5-3	Q9ULC5	ACSL5_HUMAN	reviewed	Long-chain-fatty-acid--CoA ligase 5 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 5) (LACS 5)	ACSL5 ACS5 FACL5 UNQ633/PRO1250	Homo sapiens (Human)	683
ENSP00000327453		Q68CK6	ACS2B_HUMAN	reviewed	Acyl-coenzyme A synthetase ACSM2B, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 2B) (Benzoate--CoA ligase) (EC 6.2.1.25) (Butyrate--CoA ligase 2B) (Butyryl-coenzyme A synthetase 2B) (Middle-chain acyl-CoA synthetase 2B) (Xenobiotic/medium-chain fatty acid-CoA ligase HXM-A)	ACSM2B ACSM2 HYST1046	Homo sapiens (Human)	577
ENSP00000382349		P0C7M7	ACSM4_HUMAN	reviewed	Acyl-coenzyme A synthetase ACSM4, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 4)	ACSM4	Homo sapiens (Human)	580
ENSP00000327916	ENSP00000327916 -> Q6NUN0-1	Q6NUN0	ACSM5_HUMAN	reviewed	Acyl-coenzyme A synthetase ACSM5, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 5)	ACSM5 MACS3	Homo sapiens (Human)	579
